epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5858085751533508,9.999999747378752e-05,0.7703686952590942,0.5515999794006348,0.6854315996170044
1,0.6281628012657166,9.999999747378752e-05,0.6915915012359619,0.5472000241279602,0.8974967002868652
2,0.6746174693107605,9.999999747378752e-05,0.6255872845649719,0.5631999969482422,0.8870570063591003
3,0.7097209692001343,9.999999747378752e-05,0.5779430866241455,0.6955999732017517,0.5950742363929749
4,0.7290229201316833,9.999999747378752e-05,0.5518409013748169,0.6754000186920166,0.6177384257316589
5,0.7493249177932739,9.999999747378752e-05,0.5232517123222351,0.7509999871253967,0.5090430974960327
6,0.7616261839866638,9.999999747378752e-05,0.49938490986824036,0.7455999851226807,0.5240779519081116
7,0.7772276997566223,9.999999747378752e-05,0.47890156507492065,0.6917999982833862,0.6407073736190796
8,0.7891288995742798,9.999999747378752e-05,0.45787400007247925,0.7781999707221985,0.4720536768436432
9,0.8050305247306824,9.999999747378752e-05,0.43479040265083313,0.8086000084877014,0.4125950336456299
10,0.8150815367698669,9.999999747378752e-05,0.41018790006637573,0.7871999740600586,0.47095996141433716
11,0.8316831588745117,9.999999747378752e-05,0.38625386357307434,0.8295999765396118,0.39761778712272644
12,0.8399839997291565,9.999999747378752e-05,0.36871060729026794,0.8109999895095825,0.41859501600265503
13,0.8480347990989685,9.999999747378752e-05,0.3495205342769623,0.8151999711990356,0.42482274770736694
14,0.8564356565475464,9.999999747378752e-05,0.3393372893333435,0.8370000123977661,0.3959636390209198
15,0.8635863661766052,9.999999747378752e-05,0.32030463218688965,0.8317999839782715,0.37418630719184875
16,0.8651365041732788,9.999999747378752e-05,0.31545397639274597,0.8704000115394592,0.3150365352630615
17,0.8775877356529236,9.999999747378752e-05,0.29259738326072693,0.8496000170707703,0.3543015718460083
18,0.8836883902549744,9.999999747378752e-05,0.2894653379917145,0.7803999781608582,0.5417643785476685
19,0.8841384053230286,9.999999747378752e-05,0.2742922604084015,0.8569999933242798,0.3758492171764374
20,0.8946394920349121,9.999999747378752e-05,0.25753676891326904,0.8808000087738037,0.3048098385334015
21,0.8977897763252258,9.999999747378752e-05,0.24460719525814056,0.8241999745368958,0.46336546540260315
22,0.901890218257904,9.999999747378752e-05,0.23932288587093353,0.8736000061035156,0.2870996296405792
23,0.9079408049583435,9.999999747378752e-05,0.22454506158828735,0.8726000189781189,0.30669498443603516
24,0.9130412936210632,9.999999747378752e-05,0.2158137410879135,0.8840000033378601,0.2841436564922333
25,0.9138413667678833,9.999999747378752e-05,0.20858748257160187,0.8518000245094299,0.5029357075691223
26,0.9150915145874023,9.999999747378752e-05,0.20487886667251587,0.8925999999046326,0.2683565020561218
27,0.9200419783592224,9.999999747378752e-05,0.19476209580898285,0.7973999977111816,0.6415281295776367
28,0.9256425499916077,9.999999747378752e-05,0.18646018207073212,0.8907999992370605,0.29323089122772217
29,0.9284428358078003,9.999999747378752e-05,0.17886978387832642,0.8925999999046326,0.3152499496936798
30,0.9290928840637207,9.999999747378752e-05,0.1736535280942917,0.9043999910354614,0.29177990555763245
31,0.9324432611465454,9.999999747378752e-05,0.1662357896566391,0.902999997138977,0.26482468843460083
32,0.9357435703277588,9.999999747378752e-05,0.1603209525346756,0.9193999767303467,0.20667973160743713
33,0.9389439225196838,9.999999747378752e-05,0.1517697125673294,0.9174000024795532,0.21791909635066986
34,0.9440944194793701,9.999999747378752e-05,0.1426030695438385,0.930400013923645,0.19469216465950012
35,0.9442444443702698,9.999999747378752e-05,0.13998833298683167,0.8967999815940857,0.2796231806278229
36,0.9477447867393494,9.999999747378752e-05,0.1345944106578827,0.8866000175476074,0.361024409532547
37,0.9498949646949768,9.999999747378752e-05,0.12916207313537598,0.9092000126838684,0.2670896351337433
